comment,code,line,file,language
"erCase(), 'MMMM', i);","      equalTest(tests[i][0].toLocaleUpperCase(), 'MMMM', i);
            equalTest(tests[i][1].toLocaleUpperCase(), 'MMMM', i);

            equalTestStrict(tests[i][1], 'MMM', i);
            equalTestStrict(tests[i][0], 'MMMM', i);
            equalTestStrict(tests[i][1].toLocaleLowerCase(), 'MMM', i);
            equalTestStrict(tests[i][1].toLocaleUpperCase(), 'MMM', i);
            equalTestStrict(tests[i][0].toLocaleLowerCase(), 'MMMM', i);
            equalTestStrict(tests[i][0].toLocaleUpperCase(), 'MMMM', i);
        }
    });

    test('format', function (assert) {
        var a = [
                [
                    'dddd, MMMM Do YYYY, h:mm:ss a',
                    'الأحد, فبراير 14 2010, 3:25:50 pm',
                ],
                ['ddd, hA', 'احد, 3PM'],
                ['M Mo MM MMMM MMM',",3847,data/raw/repos/js/moment/min/tests.js,javascript
"{@inheritdoc}
     
      Calling parent method is required to be used in {@see parent::run()}.","public function setProcessTitle(string $title): static
    {
        $this->command->setProcessTitle($title);

        return parent::setProcessTitle($title);
    }",239,data/raw/repos/php/symfony/src/Symfony/Component/Console/Command/TraceableCommand.php,php
"Releases this lock in disregard of ownership.
     
      @return void","public function forceRelease()
    {
        $this->connection->table($this->table)
            ->where('key', $this->name)
            ->delete();
    }",135,data/raw/repos/php/framework/src/Illuminate/Cache/DatabaseLock.php,php
"Return the names of the classes mapped in this file.
     
      @return class-string[]","public function getMappedClasses(): array
    {
        if (!isset($this->classes)) {
            $this->loadClassesFromYaml();
        }

        return array_keys($this->classes);
    }",60,data/raw/repos/php/symfony/src/Symfony/Component/Validator/Mapping/Loader/YamlFileLoader.php,php
Adds Surrogate-capability to the given Request.,public function addSurrogateCapability(Request $request): void;,36,data/raw/repos/php/symfony/src/Symfony/Component/HttpKernel/HttpCache/SurrogateInterface.php,php
"Handle a missing translation key.
     
      @param  string  $key
      @param  array  $replace
      @param  string|null  $locale
      @param  bool  $fallback
      @return string","protected function handleMissingTranslationKey($key, $replace, $locale, $fallback)
    {
        if (! $this->handleMissingTranslationKeys ||
            ! isset($this->missingTranslationKeyCallback)) {
            return $key;
        }

        // Prevent infinite loops...
        $this->handleMissingTranslationKeys = false;

        $key = call_user_func(
            $this->missingTranslationKeyCallback,
            $key, $replace, $locale, $fallback
        ) ?? $key;

        $this->handleMissingTranslationKeys = true;

        return $key;
    }",364,data/raw/repos/php/framework/src/Illuminate/Translation/Translator.php,php
"Constructs a positional audio.
	 
	  @param {AudioListener} listener - The global audio listener.","constructor( listener ) {

		super( listener );

		/**
		 * The panner node represents the location, direction, and behavior of an audio
		 * source in 3D space.
		 *
		 * @type {PannerNode}
		 * @readonly
		 */
		this.panner = this.context.createPanner();
		this.panner.panningModel = 'HRTF';
		this.panner.connect( this.gain );

	}",46,data/raw/repos/js/three.js/src/audio/PositionalAudio.js,javascript
"ch requests.
	 
	  @return {FileLoader} A reference to this instance.
	 
	abort() {

		this._abort","ntroller.abort();
		this._abortController = new AbortController();

		return this;

	}

}

/**
 * Class for load",44608,data/raw/repos/js/three.js/build/three.core.js,javascript
"Test that we're not hoisting property reads from lambdas that are created to
  pass to opaque functions, which often have maybe-invoke semantics.
 
  In this example, we shouldn't hoist `arr[0].value` out of the lambda.
  ```js
  e => arr[0].value + e.value  <-- created to pass to map
  arr.map(<cb>)                <-- argument only invoked if array is non-empty
  ```","function useFoo({arr1, arr2}) {
  const x = arr1.map(e => arr1[0].value + e.value);
  const y = arr1.map(e => arr2[0].value + e.value);
  return [x, y];
}",10,data/raw/repos/js/react/compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/inner-function/nullable-objects/array-map-simple.js,javascript
"@throws EventFacadeIsSealedException
      @throws UnknownSubscriberTypeException","public function registerSubscriber(Subscriber $subscriber): void
    {
        if ($this->sealed) {
            throw new EventFacadeIsSealedException;
        }

        $this->deferredDispatcher()->registerSubscriber($subscriber);
    }",64,data/raw/repos/php/phpunit/src/Event/Facade.php,php
"Whether the lighting model should use iridescence or not.
	 
	  @type {boolean}
	  @default true","get useIridescence() {

		return this.iridescence > 0 || this.iridescenceNode !== null;

	}",290,data/raw/repos/js/three.js/src/materials/nodes/MeshPhysicalNodeMaterial.js,javascript
@param non-empty-string $message,"public function testTriggeredPhpunitNotice(Code\Test $test, string $message): void;",179,data/raw/repos/php/phpunit/src/Event/Emitter/Emitter.php,php
"Save an array of new models and attach them to the parent model.
     
      @template TContainer of \Illuminate\Support\Collection<array-key, TRelatedModel>|array<array-key, TRelatedModel>
     
      @param  TContainer  $models
      @param  array  $pivotAttributes
      @return TContainer","public function saveMany($models, array $pivotAttributes = [])
    {
        foreach ($models as $key => $model) {
            $this->save($model, (array) ($pivotAttributes[$key] ?? []), false);
        }

        $this->touchIfTouching();

        return $models;
    }",1359,data/raw/repos/php/framework/src/Illuminate/Database/Eloquent/Relations/BelongsToMany.php,php
"Constructs a new XR controller model factory.
	 
	  @param {?GLTFLoader} [gltfLoader=null] - A glTF loader that is used to load controller models.
	  @param {?Function} [onLoad=null] - A callback that is executed when a controller model has been loaded.","constructor( gltfLoader = null, onLoad = null ) {

		/**
		 * A glTF loader that is used to load controller models.
		 *
		 * @type {?GLTFLoader}
		 * @default null
		 */
		this.gltfLoader = gltfLoader;

		/**
		 * The path to the model repository.
		 *
		 * @type {string}
		 */
		this.path = DEFAULT_PROFILES_PATH;
		this._assetCache = {};

		/**
		 * A callback that is executed when a controller model has been loaded.
		 *
		 * @type {?Function}
		 * @default null
		 */
		this.onLoad = onLoad;

		// If a GLTFLoader wasn't supplied to the constructor create a new one.
		if ( ! this.gltfLoader ) {

			this.gltfLoader = new GLTFLoader();

		}

	}",268,data/raw/repos/js/three.js/examples/jsm/webxr/XRControllerModelFactory.js,javascript
The test must be marked as ignoring deprecations as it always expects a deprecation.,"#[IgnoreDeprecations]
    public function testDeprecationNoticeWhenReferencedByAlias()
    {
        $this->expectUserDeprecationMessage('Since foobar 1.2.3.4: The ""deprecated_foo_alias"" service alias is deprecated. You should stop using it, as it will be removed in the future. It is being referenced by the ""alias"" alias.');
        $container = new ContainerBuilder();

        $container->register('foo', 'stdClass');

        $aliasDeprecated = new Alias('foo');
        $aliasDeprecated->setDeprecated('foobar', '1.2.3.4', '');
        $container->setAlias('deprecated_foo_alias', $aliasDeprecated);

        $alias = new Alias('deprecated_foo_alias');
        $container->setAlias('alias', $alias);

        $this->process($container);
    }",88,data/raw/repos/php/symfony/src/Symfony/Component/DependencyInjection/Tests/Compiler/ResolveReferencesToAliasesPassTest.php,php
"@template {EXPECTED_FUNCTION} T
	  @param {T} fn a runtime function (.runtime.js) ""template""
	  @returns {string} the updated and normalized function string","atic getFunctionContent(fn) {
		return fn
			.toString()
			.replace(FUNCTION_CONTENT_REGEX, """")
			.replace(INDENT_MULTILINE_REGEX, """")
			.replace(LINE_SEPARATOR_REGEX, ""\n"");
	}

",91,data/raw/repos/js/webpack/lib/Template.js,javascript
"Travel back to the current time.
     
      @return \DateTimeInterface","public function travelBack()
    {
        return Wormhole::back();
    }",69,data/raw/repos/php/framework/src/Illuminate/Foundation/Testing/Concerns/InteractsWithTime.php,php
"estamp query for the specified render context.
	 
	  @param {string} uid - A unique identifier for the render context.
	 
	endQuery( uid ) {

		if ("," this.trackTimestamp || this.isDisposed ) {

			return;

		}

		const baseOffset = this.queryOffsets.get( uid );
		if ( baseOffset == null ) {

			return;

		}

		// Only end if this is the active query
		if ( this.activeQuery !== baseOffset ) {

			return;

		}

		try {

			this.gl.endQuery( this.ext.TIME_ELAPSED_EXT );
			this.queryStates.set( baseOffset, 'ended' );
			this.activeQuery = null;

		} catch ( e ) {

			error( 'Error in endQuery:', e );
			// Reset state on error
			this.queryStates.set( baseOffset, 'inactive' );
			this.activeQuery = null;

		}

	}

	/**
	 * Asynchronously r",67830,data/raw/repos/js/three.js/build/three.webgpu.js,javascript
"Assert that the response has a 308 ""Permanent Redirect"" status code.
     
      @return $this","public function assertPermanentRedirect()
    {
        return $this->assertStatus(308);
    }",98,data/raw/repos/php/framework/src/Illuminate/Testing/Concerns/AssertsStatusCodes.php,php
@param  string  $driver,"#[DataProvider('redisDriverProvider')]
    public function testBulkJobQueuedEvent($driver)
    {
        $events = m::mock(Dispatcher::class);
        $events->shouldReceive('dispatch')->with(m::type(JobQueueing::class))->andReturnNull()->times(3);
        $events->shouldReceive('dispatch')->with(m::type(JobQueued::class))->andReturnNull()->times(3);

        $container = m::mock(Container::class);
        $container->shouldReceive('bound')->with('events')->andReturn(true)->times(6);
        $container->shouldReceive('offsetGet')->with('events')->andReturn($events)->times(6);

        $default = config('queue.connections.redis.queue', 'default');
        $queue = new RedisQueue($this->redis[$driver], $default);
        $queue->setContainer($container);

        $queue->bulk([
            new RedisQueueIntegrationTestJob(5),
            new RedisQueueIntegrationTestJob(10),
            new RedisQueueIntegrationTestJob(15),
        ]);
    }",515,data/raw/repos/php/framework/tests/Integration/Queue/RedisQueueTest.php,php
"on into two and triangulate them independently
function splitEarcut(","tart, triangles, dim, minX, minY, invSize) {
    // look for a valid diagonal that divides the polygon into two
    let a = start;
    do {
        let b = a.next.next;
        while (b !== a.prev) {
            if (a.i !== b.i && isValidDiagonal(a, b)) {
                // split the polygon in two by the diagonal
                let c = splitPolygon(a, b);

                // filter colinear points around the cuts
                a = filterPoints(a, a.next);
                c = filterPoints(c, c.next);

                // run earcut on each half
                earcutLinked(a, triangles, dim, minX, minY, invSize, 0);
                earcutLinked(c, triangles, dim, minX, minY, invSize, 0);
                return;
            }
            b = b.next;
        }
        a = a.next;
    } while (a !== start);
}

// link every hole i",34854,data/raw/repos/js/three.js/build/three.core.js,javascript
"@throws ExpectationFailedException
      @throws MethodNameNotConfiguredException","public function verify(): void
    {
        if ($this->methodNameRule === null) {
            throw new MethodNameNotConfiguredException;
        }

        try {
            $this->invocationRule->verify();

            if ($this->parametersRule === null) {
                $this->parametersRule = new AnyParameters;
            }

            $invocationIsAny    = $this->invocationRule instanceof AnyInvokedCount;
            $invocationIsNever  = $this->invocationRule instanceof InvokedCount && $this->invocationRule->isNever();
            $invocationIsAtMost = $this->invocationRule instanceof InvokedAtMostCount;

            if (!$invocationIsAny && !$invocationIsNever && !$invocationIsAtMost) {
                $this->parametersRule->verify();
            }
        } catch (ExpectationFailedException $e) {
            throw new ExpectationFailedException(
                sprintf(
                    ""Expectation failed for %s when %s.\n%s"",
                    $this->methodNameRule->toString(),
                    $this->invocationRule->toString(),
                    ThrowableToStringMapper::map($e),
                ),
            );
        }
    }",187,data/raw/repos/php/phpunit/src/Framework/MockObject/Runtime/Matcher.php,php
"Create a fresh mock instance for the given class.
     
      @return \Mockery\MockInterface","protected static function createFreshMockInstance()
    {
        return tap(static::createMock(), function ($mock) {
            static::swap($mock);

            $mock->shouldAllowMockingProtectedMethods();
        });
    }",129,data/raw/repos/php/framework/src/Illuminate/Support/Facades/Facade.php,php
"Sets the number which determines how the plural form of the violation
      message is chosen when it is translated.
     
      @param int $number The number for determining the plural form
     
      @return $this
     
      @see \Symfony\Contracts\Translation\TranslatorInterface::trans()",public function setPlural(int $number): static;,94,data/raw/repos/php/symfony/src/Symfony/Component/Validator/Violation/ConstraintViolationBuilderInterface.php,php
"@param {ModuleFactoryCreateData} data data object
	  @param {ModuleFactoryCallback} callback callback
	  @returns {void}","create(data, callback) {
		const dependency = /** @type {DllEntryDependency} */ (data.dependencies[0]);
		callback(null, {
			module: new DllModule(
				data.context,
				dependency.dependencies,
				dependency.name
			)
		});
	}",25,data/raw/repos/js/webpack/lib/DllModuleFactory.js,javascript
"Asks a question.
     
      @param (callable(mixed):mixed)|null $validator","public function ask(string $question, ?string $default = null, ?callable $validator = null): mixed;",75,data/raw/repos/php/symfony/src/Symfony/Component/Console/Style/StyleInterface.php,php
"Set the message selector instance.
     
      @param  \Illuminate\Translation\MessageSelector  $selector
      @return void","public function setSelector(MessageSelector $selector)
    {
        $this->selector = $selector;
    }",492,data/raw/repos/php/framework/src/Illuminate/Translation/Translator.php,php
Get routing results for a given request method and uri,"public function dispatch(string $method, string $uri): RoutingResults;",19,data/raw/repos/php/Slim/Slim/Interfaces/DispatcherInterface.php,php
"{@inheritDoc}
     
      @return \Illuminate\Support\Collection<int, mixed>","#[\Override]
    public function collapse()
    {
        return $this->toBase()->collapse();
    }",696,data/raw/repos/php/framework/src/Illuminate/Database/Eloquent/Collection.php,php
"Factory method for creating an instance of this class from the given
	  JSON object.
	 
	  @param {Object} data - A JSON object representing the serialized geometry.
	  @param {Array<Shape>} shapes - An array of shapes.
	  @return {ExtrudeGeometry} A new instance.","static fromJSON( data, shapes ) {

		const geometryShapes = [];

		for ( let j = 0, jl = data.shapes.length; j < jl; j ++ ) {

			const shape = shapes[ data.shapes[ j ] ];

			geometryShapes.push( shape );

		}

		const extrudePath = data.options.extrudePath;

		if ( extrudePath !== undefined ) {

			data.options.extrudePath = new Curves[ extrudePath.type ]().fromJSON( extrudePath );

		}

		return new ExtrudeGeometry( geometryShapes, data.options );

	}",781,data/raw/repos/js/three.js/src/geometries/ExtrudeGeometry.js,javascript
"@param class-string     $className
      @param non-empty-string $methodName","public function usesTargets(string $className, string $methodName): TargetCollection
    {
        $targets = [];

        foreach (Registry::parser()->forClassAndMethod($className, $methodName) as $metadata) {
            if ($metadata->isUsesNamespace()) {
                assert($metadata instanceof UsesNamespace);

                $targets[] = Target::forNamespace($metadata->namespace());
            }

            if ($metadata->isUsesClass()) {
                assert($metadata instanceof UsesClass);

                $targets[] = Target::forClass($metadata->className());
            }

            if ($metadata->isUsesClassesThatExtendClass()) {
                assert($metadata instanceof UsesClassesThatExtendClass);

                $targets[] = Target::forClassesThatExtendClass($metadata->className());
            }

            if ($metadata->isUsesClassesThatImplementInterface()) {
                assert($metadata instanceof UsesClassesThatImplementInterface);

                $targets[] = Target::forClassesThatImplementInterface($metadata->interfaceName());
            }

            if ($metadata->isUsesMethod()) {
                assert($metadata instanceof UsesMethod);

                $targets[] = Target::forMethod($metadata->className(), $metadata->methodName());
            }

            if ($metadata->isUsesFunction()) {
                assert($metadata instanceof UsesFunction);

                $targets[] = Target::forFunction($metadata->functionName());
            }

            if ($metadata->isUsesTrait()) {
                assert($metadata instanceof UsesTrait);

                $targets[] = Target::forTrait($metadata->traitName());
            }
        }

        return TargetCollection::fromArray($targets);
    }",97,data/raw/repos/php/phpunit/src/Metadata/Api/CodeCoverage.php,php
"Analyzes the given 3D object's hierarchy and builds render lists from the
	  processed hierarchy.
	 
	  @private
	  @param {Object3D} object - The 3D object to process (usually a scene).
	  @param {Camera} camera - The camera the object is rendered with.
	  @param {number} groupOrder - The group order is derived from the `renderOrder` of groups and is used to group 3D objects within groups.
	  @param {RenderList} renderList - The current render list.
	  @param {ClippingContext} clippingContext - The current clipping context.","_projectObject( object, camera, groupOrder, renderList, clippingContext ) {

		if ( object.visible === false ) return;

		const visible = object.layers.test( camera.layers );

		if ( visible ) {

			if ( object.isGroup ) {

				groupOrder = object.renderOrder;

				if ( object.isClippingGroup && object.enabled ) clippingContext = clippingContext.getGroupContext( object );

			} else if ( object.isLOD ) {

				if ( object.autoUpdate === true ) object.update( camera );

			} else if ( object.isLight ) {

				renderList.pushLight( object );

			} else if ( object.isSprite ) {

				const frustum = camera.isArrayCamera ? _frustumArray : _frustum;

				if ( ! object.frustumCulled || frustum.intersectsSprite( object, camera ) ) {

					if ( this.sortObjects === true ) {

						_vector4.setFromMatrixPosition( object.matrixWorld ).applyMatrix4( _projScreenMatrix );

					}

					const { geometry, material } = object;

					if ( material.visible ) {

						renderList.push( object, geometry, material, groupOrder, _vector4.z, null, clippingContext );

					}

				}

			} else if ( object.isLineLoop ) {

				error( 'Renderer: Objects of type THREE.LineLoop are not supported. Please use THREE.Line or THREE.LineSegments.' );

			} else if ( object.isMesh || object.isLine || object.isPoints ) {

				const frustum = camera.isArrayCamera ? _frustumArray : _frustum;

				if ( ! object.frustumCulled || frustum.intersectsObject( object, camera ) ) {

					const { geometry, material } = object;

					if ( this.sortObjects === true ) {

						if ( geometry.boundingSphere === null ) geometry.computeBoundingSphere();

						_vector4
							.copy( geometry.boundingSphere.center )
							.applyMatrix4( object.matrixWorld )
							.applyMatrix4( _projScreenMatrix );

					}

					if ( Array.isArray( material ) ) {

						const groups = geometry.groups;

						for ( let i = 0, l = groups.length; i < l; i ++ ) {

							const group = groups[ i ];
							const groupMaterial = material[ group.materialIndex ];

							if ( groupMaterial && groupMaterial.visible ) {

								renderList.push( object, geometry, groupMaterial, groupOrder, _vector4.z, group, clippingContext );

							}

						}

					} else if ( material.visible ) {

						renderList.push( object, geometry, material, groupOrder, _vector4.z, null, clippingContext );

					}

				}

			}

		}

		if ( object.isBundleGroup === true && this.backend.beginBundle !== undefined ) {

			const baseRenderList = renderList;

			// replace render list
			renderList = this._renderLists.get( object, camera );

			renderList.begin();

			baseRenderList.pushBundle( {
				bundleGroup: object,
				camera,
				renderList,
			} );

			renderList.finish();

		}

		const children = object.children;

		for ( let i = 0, l = children.length; i < l; i ++ ) {

			this._projectObject( children[ i ], camera, groupOrder, renderList, clippingContext );

		}

	}",2805,data/raw/repos/js/three.js/src/renderers/common/Renderer.js,javascript
telling whether we should expect the markup to match or not.,"async function testMarkupMatch(serverElement, clientElement, shouldMatch) {
    const domElement = await serverRender(serverElement);
    resetModules();
    return renderIntoDom(
      clientElement,
      domElement.parentNode,
      true,
      shouldMatch ? 0 : 1,
    );
  }",369,data/raw/repos/js/react/packages/react-dom/src/__tests__/utils/ReactDOMServerIntegrationTestUtils.js,javascript
"Is this output decorated?
     
      @return bool","ublic function isDecorated();
",63,data/raw/repos/php/composer/src/Composer/IO/IOInterface.php,php
"Unsupported method.
     
      @throws BadMethodCallException","public function addError(FormError $error): static
    {
        throw new BadMethodCallException('Buttons cannot have errors.');
    }",234,data/raw/repos/php/symfony/src/Symfony/Component/Form/Button.php,php
"Remove the value at the given offset.
     
      @param  string  $offset
      @return void","public function offsetUnset($offset): void
    {
        $this->getInputSource()->remove($offset);
    }",812,data/raw/repos/php/framework/src/Illuminate/Http/Request.php,php
"ility object.
	 
	  @param {WebGPUBackend} backend - The WebGPU backend.
	 
	constructor( backend ) {","	/**
		 * A reference to the WebGPU backend.
		 *
		 * @type {WebGPUBackend}
		 */
		this.backend = backend;

		/**
		 * A reference to the pass utils.
		 *
		 * @type {?WebGPUTexturePassUtils}
		 * @default null
		 */
		this._passUtils = null;

		/**
		 * A dictionary for managing default textures. The key
		 * is the texture format, the value the texture object.
		 *
		 * @type {Object<string,Texture>}
		 */
		this.defaultTexture = {};

		/**
		 * A dictionary for managing default cube textures. The key
		 * is the texture format, the value the texture object.
		 *
		 * @type {Object<string,CubeTexture>}
		 */
		this.defaultCubeTexture = {};

		/**
		 * A default video frame.
		 *
		 * @type {?VideoFrame}
		 * @default null
		 */
		this.defaultVideoFrame = null;

		/**
		 * A cache of shared texture samplers.
		 *
		 * @type {Map<string, Object>}
		 */
		this._samplerCache = new Map();

	}

	/**
	 * Creates a GPU sa",71668,data/raw/repos/js/three.js/build/three.webgpu.js,javascript
"Send a new message using a view.
     
      @param  \Illuminate\Contracts\Mail\Mailable|string|array  $view
      @param  array  $data
      @param  \Closure|string|null  $callback
      @return \Illuminate\Mail\SentMessage|null","public function send($view, array $data = [], $callback = null)
    {
        if ($view instanceof MailableContract) {
            return $this->sendMailable($view);
        }

        $data['mailer'] = $this->name;

        // Once we have retrieved the view content for the e-mail we will set the body
        // of this message using the HTML type, which will provide a simple wrapper
        // to creating view based emails that are able to receive arrays of data.
        [$view, $plain, $raw] = $this->parseView($view);

        $data['message'] = $message = $this->createMessage();

        $this->addContent($message, $view, $plain, $raw, $data);

        if (! is_null($callback)) {
            $callback($message);
        }

        // If a global ""to"" address has been set, we will set that address on the mail
        // message. This is primarily useful during local development in which each
        // message should be delivered into a single mail address for inspection.
        if (isset($this->to['address'])) {
            $this->setGlobalToAndRemoveCcAndBcc($message);
        }

        // Next we will determine if the message should be sent. We give the developer
        // one final chance to stop this message and then we will send it to all of
        // its recipients. We will then fire the sent event for the sent message.
        $symfonyMessage = $message->getSymfonyMessage();

        if ($this->shouldSendMessage($symfonyMessage, $data)) {
            $symfonySentMessage = $this->sendSymfonyMessage($symfonyMessage);

            if ($symfonySentMessage) {
                $sentMessage = new SentMessage($symfonySentMessage);

                $this->dispatchSentEvent($sentMessage, $data);

                return $sentMessage;
            }
        }
    }",296,data/raw/repos/php/framework/src/Illuminate/Mail/Mailer.php,php
"resources.
	 
	dispose() {

		this._samp","rCache.clear();

	}

	/**
	 * Returns the defa",72272,data/raw/repos/js/three.js/build/three.webgpu.js,javascript
"Set the system operating system family.
     
      @param  string  $family
      @return $this","public function setSystemOsFamily($family)
    {
        $this->systemOsFamily = $family;

        return $this;
    }",522,data/raw/repos/php/framework/src/Illuminate/Foundation/Console/DocsCommand.php,php
Gets the prompt for choices.,"public function getPrompt(): string
    {
        return $this->prompt;
    }",80,data/raw/repos/php/symfony/src/Symfony/Component/Console/Question/ChoiceQuestion.php,php
"Returns `true` if the given 3D object is fully occluded by other
	  3D objects in the scene. Backends must implement this method by using
	  a Occlusion Query API.
	 
	  @abstract
	  @param {RenderContext} renderContext - The render context.
	  @param {Object3D} object - The 3D object to test.
	  @return {boolean} Whether the 3D object is fully occluded or not.","isOccluded( /*renderContext, object*/ ) {}",542,data/raw/repos/js/three.js/src/renderers/common/Backend.js,javascript
"Multiplies the columns of this matrix by the given vector.
	 
	  @param {Vector3} v - The scale vector.
	  @return {Matrix4} A reference to this matrix.
	 
	sc","e( v ) {

		const te = this.elements;
		const x = v.x, y = v.y, z = v.z;

		te[ 0 ] *= x; te[ 4 ] *= y; te[ 8 ] *= z;
		te[ 1 ] *= x; te[ 5 ] *= y; te[ 9 ] *= z;
		te[ 2 ] *= x; te[ 6 ] *= y; te[ 10 ] *= z;
		te[ 3 ] *= x; te[ 7 ] *= y; te[ 11 ] *= z;

		return this;

	}

	/",12183,data/raw/repos/js/three.js/build/three.core.js,javascript
"Compile a spatial index key command.
     
      @param  \Illuminate\Database\Schema\Blueprint  $blueprint
      @param  \Illuminate\Support\Fluent  $command
      @return string","public function compileSpatialIndex(Blueprint $blueprint, Fluent $command)
    {
        $command->algorithm = 'gist';

        if (! is_null($command->operatorClass)) {
            return $this->compileIndexWithOperatorClass($blueprint, $command);
        }

        return $this->compileIndex($blueprint, $command);
    }",420,data/raw/repos/php/framework/src/Illuminate/Database/Schema/Grammars/PostgresGrammar.php,php
"Execute the given callback if the string contains all array values.
     
      @param  iterable<string>  $needles
      @param  callable  $callback
      @param  callable|null  $default
      @return static","public function whenContainsAll(array $needles, $callback, $default = null)
    {
        return $this->when($this->containsAll($needles), $callback, $default);
    }",1151,data/raw/repos/php/framework/src/Illuminate/Support/Stringable.php,php
